Day,Month,Day,Year,DOY,AirTempMax(F),AirTempMin(F),RelHumidAvg(%),Precip(In),WindAvg(mph),WindMax(mph),Solar(ly)
7/20/2023,7,20,2023,201,86.7,69.2,71.8,0.01,4.1,16.4,604.5
7/21/2023,7,21,2023,202,82.4,63.8,70.6,0,2.6,13,536.3
7/22/2023,7,22,2023,203,86.9,61.7,72,0,2.9,17.4,432
7/23/2023,7,23,2023,204,94.4,62.9,64.9,0,2.6,14.1,646.5
7/24/2023,7,24,2023,205,94.5,71.9,61.3,0,5.6,20.3,612.4
7/25/2023,7,25,2023,206,104.4,75,51.1,0,5,18.3,586.4
7/26/2023,7,26,2023,207,103.8,79.6,44.2,0,4.6,15.6,639.9
7/27/2023,7,27,2023,208,96.8,76.5,52.7,0,5.7,16.9,435.1
7/28/2023,7,28,2023,209,104.9,71.8,52.8,0.35,6.2,39.8,598.6
7/29/2023,7,29,2023,210,90,69.2,70.4,0,3.7,30.4,445.1
7/30/2023,7,30,2023,211,94,67.9,75.6,0.02,4.2,16.2,549.6
7/31/2023,7,31,2023,212,90,68.8,77.2,0,5,15.6,429.6
8/1/2023,8,1,2023,213,102,70.6,72.9,0,2.5,12.3,544.9
8/2/2023,8,2,2023,214,92.4,77.9,63.3,0,3.6,15.9,375.7
8/3/2023,8,3,2023,215,85.5,71.9,86.1,0.38,4.3,13.8,382.6
8/4/2023,8,4,2023,216,88.2,69.6,81.3,0.65,3.4,17.9,566.3
8/5/2023,8,5,2023,217,90.9,68.5,71.6,0.06,3.1,29.2,574.2
8/6/2023,8,6,2023,218,80.7,66.1,75.5,0.03,7.4,25.1,469.9
8/7/2023,8,7,2023,219,81.8,62.9,73.4,0,3.7,15.4,482.3
8/8/2023,8,8,2023,220,91.2,62.4,65.1,0,2,10,613.4
8/9/2023,8,9,2023,221,85.6,69.1,76.3,0.27,2.8,14.4,550.8
8/10/2023,8,10,2023,222,92,65.5,66.5,0,3.9,19.1,597.4
8/11/2023,8,11,2023,223,100.8,67,60.4,0,4.4,19.3,575.2
8/12/2023,8,12,2023,224,89,74.2,72.1,0,4.4,15.8,432.5
8/13/2023,8,13,2023,225,85.9,68.5,86.6,0.47,4,21.5,279
8/14/2023,8,14,2023,226,78.8,60.8,66.9,0,6.9,20.1,600.7
8/15/2023,8,15,2023,227,81.8,57.7,67.1,0,2.7,12.4,629.6
8/16/2023,8,16,2023,228,92.4,58.7,58,0,6.1,19.3,613.6
8/17/2023,8,17,2023,229,85.8,59.4,57.1,0,4.8,16.6,576.4
8/18/2023,8,18,2023,230,90.9,54.6,60.5,0,4.6,16.6,585.7
8/19/2023,8,19,2023,231,111.4,74.5,44.3,0,5.6,22.6,599.3
8/20/2023,8,20,2023,232,100.3,71.9,60.6,0,2.8,11.5,566.3
